#400
Tau: 0.8, ID Rate: 0.08644859813084112
Tau: 1, ID Rate: 0.12383177570093457
Tau: 3, ID Rate: 0.3341121495327103
Tau: 5, ID Rate: 0.4392523364485982
Tau: 10, ID Rate: 0.5747663551401869
Tau: 12, ID Rate: 0.5934579439252337
Tau: 20, ID Rate: 0.6600467289719627
Tau: 22, ID Rate: 0.6635514018691588
Tau: 30, ID Rate: 0.6728971962616823
Tau: 44, ID Rate: 0.6705607476635514

#500
Tau: 10, ID Rate: 0.5537383177570093
Tau: 20, ID Rate: 0.6460280373831776
Tau: 24, ID Rate: 0.6705607476635513
Tau: 50, ID Rate: 0.6904205607476636
#600
Tau: 10, ID Rate: 0.508177570093458
Tau: 22, ID Rate: 0.6565420560747663
Tau: 24, ID Rate: 0.6717289719626168
Tau: 42, ID Rate: 0.7044392523364487
#700
Tau: 34, ID Rate: 0.6997663551401869
#800
Tau: 40, ID Rate: 0.7009345794392523
#900
