#400
Tau: 0, ID Rate: 0.3411214953271028
Tau: 0.8, ID Rate: 0.7242990654205608
Tau: 1, ID Rate: 0.7675233644859814
Tau: 3, ID Rate: 0.8808411214953271
Tau: 5, ID Rate: 0.9007009345794392
Tau: 10, ID Rate: 0.9042056074766356
Tau: 12, ID Rate: 0.8960280373831776
Tau: 14, ID Rate: 0.8948598130841121

#500
Tau: 10, ID Rate: 0.9170560747663552
Tau: 12, ID Rate: 0.9158878504672898
Tau: 14, ID Rate: 0.9147196261682243
#600
Tau: 10, ID Rate: 0.927570093457944
Tau: 12, ID Rate: 0.9299065420560748
Tau: 16, ID Rate: 0.9299065420560748
#700
Tau: 28, ID Rate: 0.9240654205607477
#800
Tau: 20, ID Rate: 0.9345794392523364
#900
Tau: 22, ID Rate: 0.9404205607476636
