#400
Tau: 0.8, ID Rate: 0.10630841121495327
Tau: 1, ID Rate: 0.1366822429906542
Tau: 3, ID Rate: 0.3598130841121495
Tau: 5, ID Rate: 0.4544392523364486
Tau: 10, ID Rate: 0.5385514018691588
Tau: 12, ID Rate: 0.552570093457944
Tau: 20, ID Rate: 0.5829439252336448
Tau: 22, ID Rate: 0.5887850467289719
Tau: 24, ID Rate: 0.594626168224299
Tau: 26, ID Rate: 0.5992990654205608
#500
Tau: 12, ID Rate: 0.5455607476635513
Tau: 20, ID Rate: 0.5887850467289719
Tau: 24, ID Rate: 0.6016355140186915
Tau: 36, ID Rate: 0.6179906542056075
#600
Tau: 10, ID Rate: 0.5023364485981309
Tau: 22, ID Rate: 0.5922897196261683
Tau: 24, ID Rate: 0.6086448598130841
Tau: 36, ID Rate: 0.6343457943925234
#700
Tau: 32, ID Rate: 0.6355140186915889
#800
Tau: 36, ID Rate: 0.6401869158878505
#900
