Tau: 0, ID Rate: 0.5198598130841121
Tau: 0.001, ID Rate: 0.5198598130841121
Tau: 0.01, ID Rate: 0.5175233644859814
Tau: 0.1, ID Rate: 0.5
Tau: 0.2, ID Rate: 0.4871495327102804
Tau: 0.3, ID Rate: 0.4789719626168224
Tau: 0.4, ID Rate: 0.4742990654205608
Tau: 0.5, ID Rate: 0.4707943925233645
Tau: 0.6, ID Rate: 0.4696261682242991
Tau: 0.7, ID Rate: 0.4696261682242991
Tau: 0.8, ID Rate: 0.47079439252336447
Tau: 0.9, ID Rate: 0.4672897196261683
Tau: 1, ID Rate: 0.4649532710280374
Tau: 2, ID Rate: 0.4485981308411215
Tau: 3, ID Rate: 0.4357476635514019
Tau: 4, ID Rate: 0.4217289719626168
Tau: 5, ID Rate: 0.41705607476635514
Tau: 6, ID Rate: 0.4077102803738318
Tau: 7, ID Rate: 0.40420560747663553
Tau: 8, ID Rate: 0.39369158878504673
Tau: 9, ID Rate: 0.383177570093458
Tau: 10, ID Rate: 0.37266355140186913
