Tau: 0, ID Rate: 0.3948598130841121
Tau: 0.001, ID Rate: 0.39369158878504673
Tau: 0.01, ID Rate: 0.3855140186915888
Tau: 0.1, ID Rate: 0.37850467289719625
Tau: 0.2, ID Rate: 0.37266355140186913
Tau: 0.3, ID Rate: 0.3691588785046729
Tau: 0.4, ID Rate: 0.36565420560747663
Tau: 0.5, ID Rate: 0.3644859813084112
Tau: 0.6, ID Rate: 0.36331775700934577
Tau: 0.7, ID Rate: 0.36331775700934577
Tau: 0.8, ID Rate: 0.36448598130841126
Tau: 0.9, ID Rate: 0.3621495327102804
Tau: 1, ID Rate: 0.3621495327102804
