Tau: 0, ID Rate: 0.45794392523364486
Tau: 0.001, ID Rate: 0.4567757009345794
Tau: 0.01, ID Rate: 0.45093457943925236
Tau: 0.1, ID Rate: 0.4369158878504673
Tau: 0.2, ID Rate: 0.43224299065420557
Tau: 0.3, ID Rate: 0.42757009345794394
Tau: 0.4, ID Rate: 0.41939252336448596
Tau: 0.5, ID Rate: 0.41238317757009346
Tau: 0.6, ID Rate: 0.4100467289719626
Tau: 0.7, ID Rate: 0.4077102803738318
Tau: 0.8, ID Rate: 0.40537383177570097
Tau: 0.9, ID Rate: 0.40537383177570097
Tau: 1, ID Rate: 0.40537383177570097
