Tau: 0, ID Rate: 0.1483644859813084
Tau: 0.001, ID Rate: 0.1483644859813084
Tau: 0.01, ID Rate: 0.14719626168224298
Tau: 0.1, ID Rate: 0.13668224299065418
Tau: 0.2, ID Rate: 0.13551401869158877
Tau: 0.3, ID Rate: 0.13434579439252337
Tau: 0.4, ID Rate: 0.13317757009345793
Tau: 0.5, ID Rate: 0.13317757009345793
Tau: 0.6, ID Rate: 0.13434579439252337
Tau: 0.7, ID Rate: 0.1320093457943925
Tau: 0.8, ID Rate: 0.1320093457943925
Tau: 0.9, ID Rate: 0.13317757009345793
Tau: 1, ID Rate: 0.1308411214953271
Tau: 2, ID Rate: 0.12266355140186916
Tau: 3, ID Rate: 0.12032710280373832
Tau: 4, ID Rate: 0.11915887850467288
Tau: 5, ID Rate: 0.11682242990654204
Tau: 6, ID Rate: 0.1144859813084112
Tau: 7, ID Rate: 0.11098130841121495
Tau: 8, ID Rate: 0.10630841121495327
Tau: 9, ID Rate: 0.102803738317757
Tau: 10, ID Rate: 0.10163551401869159
