Tau: 0, ID Rate: 0.23598130841121495
Tau: 0.001, ID Rate: 0.23598130841121495
Tau: 0.01, ID Rate: 0.23598130841121495
Tau: 0.1, ID Rate: 0.21728971962616822
Tau: 0.2, ID Rate: 0.20677570093457942
Tau: 0.3, ID Rate: 0.1985981308411215
Tau: 0.4, ID Rate: 0.1939252336448598
Tau: 0.5, ID Rate: 0.18925233644859812
Tau: 0.6, ID Rate: 0.18925233644859812
Tau: 0.7, ID Rate: 0.18457943925233644
Tau: 0.8, ID Rate: 0.183411214953271
Tau: 0.9, ID Rate: 0.1822429906542056
Tau: 1, ID Rate: 0.1810747663551402
