Tau: 0, ID Rate: 0.2324766355140187
Tau: 0.001, ID Rate: 0.1261682242990654
Tau: 0.2, ID Rate: 0.09345794392523364
Tau: 0.3, ID Rate: 0.09462616822429906
Tau: 0.4, ID Rate: 0.0969626168224299
Tau: 0.5, ID Rate: 0.09579439252336448
Tau: 0.6, ID Rate: 0.0969626168224299
Tau: 0.7, ID Rate: 0.102803738317757
Tau: 0.8, ID Rate: 0.102803738317757
Tau: 0.9, ID Rate: 0.10747663551401869
Tau: 1, ID Rate: 0.10747663551401869
Tau: 2, ID Rate: 0.10397196261682243
Tau: 3, ID Rate: 0.10514018691588785
Tau: 4, ID Rate: 0.10747663551401869
Tau: 5, ID Rate: 0.10864485981308411
Tau: 6, ID Rate: 0.11682242990654206
Tau: 7, ID Rate: 0.11799065420560748
Tau: 8, ID Rate: 0.12149532710280374
Tau: 9, ID Rate: 0.12149532710280372
Tau: 10, ID Rate: 0.1191588785046729
